Sentence,processed_text,Sentiment
"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",okmetic products based expertise generates added value customers innovative product development extremely efficient production process,positive
"Comparable operating profit totaled EUR 4.7 mn , down from EUR 5.1 mn in the corresponding period in 2005 , representing 7.4 % of net sales .",comparable operating profit totaled eur mn eur mn corresponding period representing net sales,neutral
"The equipment is designated to Bollore Africa Logistics terminal Societe d'Exploitation du Terminal de Vridi SETV in Abidjan , Ivory Coast and the delivery is scheduled to start in March 2010 .",equipment designated bollore africa logistics terminal societe du terminal de vridi setv abidjan ivory coast delivery scheduled start march,neutral
"Teleste 's hybrid TV solution includes components for the whole process of delivering video services to consumers from content acquisition and service creation to delivery through a range of access solutions , including HFC ( hybrid fibre-coaxial ) , xDSL , EttH , and FttH .",teleste hybrid tv solution includes components whole process delivering video services consumers content acquisition service creation delivery range access solutions including hfc hybrid xdsl etth ftth,neutral
"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .",company net sales amounted approximately employees,neutral
New Novator products are supposed to be exported .,new novator products supposed exported,neutral
Elcoteq has a global network of After Market Service sites which have a long experience in serving Consumer Electronics and Systems Solutions customers .,elcoteq global network market service sites long experience serving consumer electronics systems solutions customers,neutral
Finnish component supplier Componenta Corporation ( OMX Helsinki : CTH1V ) reported on Tuesday ( 15 July ) an operating profit of EUR46 .2 m on net sales of EUR386 .0 m for the financial period January-June 2008 .,finnish component supplier componenta corporation omx helsinki reported tuesday july operating profit net sales financial period,neutral
$SAVE breaking it's downtrend line on increasing volume. A move above 20.57 could see more upside. http://stks.co/l8y4,save breaking downtrend line increasing volume move could see upside http,positive
"The official opening of the office , located in Prague , will be celebrated on May 20 .",official opening office located prague celebrated may,neutral
Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,apple another attempt break apple weak pvt aapl trading investing aapl https,positive
It also turned to earnings per share ( EPS ) of EUR 0.08 versus loss per share of EUR 0.04 .,also turned earnings per share eps eur versus loss per share eur,positive
Completion of the transaction is subject to a final agreement and a Due Diligence process .,completion transaction subject final agreement due diligence process,neutral
Morrisons finance chief to fill gap as CEO leaves early,morrisons finance chief fill gap ceo leaves early,negative
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",earnings per share eps amounted loss,positive
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,tiimari operates stores six countries including core finnish market generated turnover mln eur,neutral
"Changes being announced today will be effective after the close of trading on Friday , June 19 , 2009 .",changes announced today effective close trading friday june,neutral
"According to Chairman Michael Hornborg , the organizations has merely criticised Raisio 's weak performance .",according chairman michael hornborg organizations merely criticised raisio weak performance,neutral
BAE Systems's sales boosted by European Typhoon and currencies,bae systems sales boosted european typhoon currencies,positive
"Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share .",honkarakenne also decided yesterday sell b series shares key staff members per share,neutral
To raise consumer awareness and encourage people to recycle their old mobile devices Nokia runs regular recycling campaigns around the world .,raise consumer awareness encourage people recycle old mobile devices nokia runs regular recycling campaigns around world,neutral
"In the Baltics , the merger of the businesses of the two is expected to be completed in early 2008 .",baltics merger businesses two expected completed early,neutral
"Tieto was looking for an energy solution which would best support the idea of sustainable development , and we were happy to be able to provide such a solution , saysJouni Haikarainen , Vice President , Fortum .",tieto looking energy solution would best support idea sustainable development happy able provide solution saysjouni haikarainen vice president fortum,positive
Expense ratio was 102.6 % compared to 92.9 % in the corresponding period in 2005 .,expense ratio compared corresponding period,neutral
"STOCKMANN plc COMPANY ANNOUNCEMENT February 20 , 2007 , at 13.40 An annual summary of Stockmann 's stock exchange and financial press releases in 2006 is available on the company 's website at the address www.stockmann.com .",stockmann plc company announcement february annual summary stockmann stock exchange financial press releases available company website address,neutral
"@HopeTurock yes, the expectations of a deal are somewhat priced in but we could see a nice pop if bids come in higher than expected... $YHOO",hopeturock yes expectations deal somewhat priced could see nice pop bids come higher expected yhoo,positive
$AAPL Dips being bought up real quick. Higher lows fo sho,aapl dips bought real quick higher lows fo sho,positive
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,operating profit continuing operations fell eur mn eur mn first half,neutral
"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",basware ceo ilkka sihvo comments conjunction interim report whole basware succeeded well second quarter,positive
"s NASDAQ OMX : GEO1V , GyPSii business unit , developers of the award-winning GyPSii mobile social networking application , today announced its availability as a free download via the Samsung Mobile Applications Store .",nasdaq omx gypsii business unit developers gypsii mobile social networking application today announced availability free download via samsung mobile applications store,neutral
"`` I 'm trying to deal with slavery from a different perspective to balance the story , '' says DeRamus , formerly a writer at the Detroit Free Press and the Detroit News .",trying deal slavery different perspective balance story says deramus formerly writer detroit free press detroit news,neutral
"Compared with the FTSE 100 index , which rose 94.9 points ( or 1.6 % ) on the day , this was a relative price change of -0.4 % .",compared ftse index rose points day relative price change,negative
Why Alphabet Inc was just upgraded to buy https://t.co/dEVnLKhqtZ $GOOGL,alphabet inc upgraded buy https googl,positive
All of Raisio 's divisions recorded an operating profit .,raisio divisions recorded operating profit,positive
The announcement comes two weeks before a key licensing agreement expires between between the two companies which are embroiled in a disagreement over royalty payments for Texas Instrument chips which use Qualcomm-patented technology .,announcement comes two weeks key licensing agreement expires two companies embroiled disagreement royalty payments texas instrument chips use technology,neutral
"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .",share capital alma media corporation business id eur divided shares,neutral
The forecast for 2012 is 3.3 % .,forecast,neutral
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .,hull vessel built one block time ruukki delivered plate material block construction progressed,neutral
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,operating profit eur mn compared eur mn,negative
"The reason for this is St. Petersburg status as a capital , one of the participants in the meeting quoted Chikunov as saying .",reason petersburg status capital one participants meeting quoted chikunov saying,neutral
Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .,upon completion sale proha would get stake artemis,neutral
"Buffett's Berkshire builds Deere stake, dumps Exxon",buffett berkshire builds deere stake dumps exxon,positive
Last year 's net sales rose to EUR 68.3 million from EUR 62.2 million .,last year net sales rose eur million eur million,positive
"Earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 , and above market expectations of 0.28 eur .",earnings per share quarter also higher eur versus market expectations eur,positive
Finnish Talvivaara Mining Co HEL : TLV1V said Thursday it had picked BofA Merrill Lynch and JPMorgan NYSE : JPM as joint bookrunners of its planned issue of convertible notes worth up to EUR250m USD332m .,finnish talvivaara mining co hel said thursday picked bofa merrill lynch jpmorgan nyse jpm joint bookrunners planned issue convertible notes worth,neutral
$MXWL Oh snap. Just went long again. LT,mxwl oh snap went long lt,positive
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,operating profit decreased eur mn eur mn,negative
"Panostaja , headquartered in Tampere , Finland , is an investment company focusing on small and medium-sized Finnish companies operating in the traditional industries .",panostaja headquartered tampere finland investment company focusing small finnish companies operating traditional industries,neutral
"The corresponding increase in the share capital , in total EUR 300,00 was registered in the Finnish Trade Register on May 8 , 2008 .",corresponding increase share capital total eur registered finnish trade register may,neutral
"CapMan Plc Press Release 31 March 2008 Jukka Ruuska , President of the OMX Nordic Exchanges and the Stockholm Stock Exchange , will transfer to CapMan effective no later than September 2008 .",capman plc press release march jukka ruuska president omx nordic exchanges stockholm stock exchange transfer capman effective later september,neutral
The dismissed staff members will now take the matter to court unless it can be settled outside .,dismissed staff members take matter court unless settled outside,neutral
"According to Finnish petrol station chain St1 's managing director Kim Wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",according finnish petrol station chain managing director kim wiio company forced make purchases rising prices first half consumer prices going almost daily due competition,neutral
`` We know there are some of our own people out there . '',know people,neutral
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",metal gained percent year demand china world largest user increased,positive
This is a much better process than using virgin paper as it requires less transportation of wood pulp from places like Finland and Canada .,much better process using virgin paper requires less transportation wood pulp places like finland canada,positive
"Revenue was slightly down , at  x20ac 495 million $ 634 million , compared to  x20ac 497 million a year earlier .",revenue slightly million million compared million year earlier,negative
Followed the levels I shared with you on $NFLX $GOOGL $TSLA calls for nice gains. Still holding $FB 110 calls. Week made in a morning.,followed levels shared nflx googl tsla calls nice gains still holding fb calls week made morning,positive
The company will enhance the GPRS capability in the existing 12 IDEA telecom service areas and add 10 more service areas to its network .,company enhance gprs capability existing idea telecom service areas add service areas network,positive
"With the new arrangement , customer responsibilities will become mainly regional .",new arrangement customer responsibilities become mainly regional,neutral
"The sale will result in a capital loss of EUR5m for Solidium , which obtained Tikkurila shares in March 2010 .",sale result capital loss solidium obtained tikkurila shares march,neutral
"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis .",study evaluated safety tolerability pharmacokinetics repeated doses intravenously administered antibody patients active plaque psoriasis,neutral
"Following the registration , the number of issued and outstanding shares of Basware is 12,890,829 .",following registration number issued outstanding shares basware,neutral
"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",second quarter group pretax loss narrowed eur eur,positive
"The Finland-based company says it will move into an existing 260,000-square-foot facility in September .",company says move existing facility september,neutral
"The company is now withdrawing the second part , EUR 7.2 mn , of the investment commitment .",company withdrawing second part eur mn investment commitment,neutral
"Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 , 2006 it named Henry Gilchrist senior vice president of the group 's Asian operations , as of January 8 , 2007 .",finnish printed circuit boards pcbs maker aspocomp group oyj said december named henry gilchrist senior vice president group asian operations january,neutral
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,come shorts marchin gmcr lovin,negative
Grapevine city officials in September approved $ 35 million in tax rebates and grants for the expansion .,grapevine city officials september approved million tax rebates grants expansion,positive
Sponda plans to renovate old real estate and develop new property .,sponda plans renovate old real estate develop new property,neutral
From Merisatama to the far corners of the world Asfaltti Osakeyhti+Â Lemmink+ñinen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,merisatama far corners world asfaltti established group master builders helsinki specialist business subcontractor,neutral
"AUSTIN , Texas , Sept. 6 -- Texas Department Of Transportation awards contract for Teleste Video Compression and Distribution Equipment .",austin texas texas department transportation awards contract teleste video compression distribution equipment,positive
The transaction value is CAD 15 million approximately EUR 10 million .,transaction value cad million approximately eur million,neutral
"With the extension of the new contract for a further eight engines , the plant will now produce over 100 MW , it said .",extension new contract eight engines plant produce mw said,positive
Stora Enso will receive a 19.9 pct equity interest in the combined company .,stora enso receive pct equity interest combined company,neutral
"Beef imports fell slightly from 2006 , to 14mn kilos .",beef imports fell slightly kilos,neutral
"We serve a broad range of customers , including construction and process industries , shipyards , the public sector and households .",serve broad range customers including construction process industries shipyards public sector households,neutral
"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",kndi let see higher highs higher lows rest day slow steady,positive
"Finnish electronics manufacturing services EMS company Elcoteq SE posted a net loss of 66.4 mln euro $ 91.2 mln for the first half of 2007 , compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 .",finnish electronics manufacturing services ems company elcoteq se posted net loss mln euro mln first half compared net profit mln euro mln period,neutral
"Then , it said the contract was estimated to contribute more than EUR150m to its net sales in 2010 .",said contract estimated contribute net sales,positive
No financial details were reported .,financial details reported,neutral
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),balfour beatty plc set reinstate dividend rival national grid plc centrica plc,positive
"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",viking line cargo revenue increased eur mn cargo volume increased cargo units,positive
Finnish power company Fortum reports 89 % of its electricity was generated without carbon dioxide emissions in 2007 .,finnish power company fortum reports electricity generated without carbon dioxide emissions,neutral
"Cargotec Corporation , Press Release , August 26 , 2008 at 10 a.m. Finnish time Cargotec 's MacGREGOR business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .",cargotec corporation press release august finnish time cargotec macgregor business area providing marine cargo handling offshore load handling solutions received significant offshore crane retrofit order,positive
"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",change optimize operational efficiencies growing business said julia prohaska director marketing communications fiskars,positive
"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",helsinki may finnish company lemminkainen oyj hel said today construct office building toolonlahti downtown helsinki without disclosing financial details,neutral
`` The additional flight linking Mumbai with Helsinki was dictated by the strong traffic demand between Asia and Europe .,additional flight linking mumbai helsinki dictated strong traffic demand asia europe,positive
"The Whitehall Street Real Estate Funds invest in real estate and real estate related assets , principally through the acquisition of real estate companies , real property and mortgage loans .",whitehall street real estate funds invest real estate real estate related assets principally acquisition real estate companies real property mortgage loans,neutral
"HELSINKI ( Thomson Financial ) - M-real said it will exercise an option to buy a 50MW natural gas power plant and land in Kyroskoski , Finland , for around 13 mln eur from Kyro Oyj .",helsinki thomson financial said exercise option buy natural gas power plant land kyroskoski finland around mln eur kyro oyj,positive
Incap Contract Manufacturing Services Private Limited has inked agreements with six new customers in India .,incap contract manufacturing services private limited inked agreements six new customers india,positive
Glencore fight back over debt fears lifts shares,glencore fight back debt fears lifts shares,positive
$FB slight green... May be runner later,fb slight green may runner later,positive
Teleste has some 30 offices worldwide and is listed on the Nordic Exchange in Helsinki .,teleste offices worldwide listed nordic exchange helsinki,neutral
"Alma Media 's operating profit amounted to EUR 11.9 mn , down from EUR 15.0 mn a year earlier .",alma media operating profit amounted eur mn eur mn year earlier,neutral
"With this , the company will exit the contract manufacturing service segment .",company exit contract manufacturing service segment,neutral
Suomen Paikallissanomat Oy is part of Alma Media Group and it currently publishes 15 local newspapers across Finland .,suomen paikallissanomat oy part alma media group currently publishes local newspapers across finland,neutral
The company negotiated an amendment to the financial covenants of the present credit agreements in regard to the situation on 30 September 2010 .,company negotiated amendment financial covenants present credit agreements regard situation september,neutral
"Paychex has more than 100 offices serving approximately 554,000 payroll clients nationwide as of May 31 , 2009 .",paychex offices serving approximately payroll clients nationwide may,neutral
Net sales have been eaten by the weak US dollar .,net sales eaten weak us dollar,negative
"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",adpnews dec finnish investment group neomarkka oyj hel nembv said today furlough employee unit reka cables ltd less days starting january,neutral
Finnish forest machinery manufacturer Ponsse has issued a profit warning .,finnish forest machinery manufacturer ponsse issued profit warning,negative
Filmiteollisuus Fine Ab will be transferred to Talentum Oyj in the form of a subsidiary .,filmiteollisuus fine ab transferred talentum oyj form subsidiary,neutral
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .,laine appointed chairman erkki vice chairman board,neutral
Affecto has participated in the program for the development of the Norwegian pension system since 2007 .,affecto participated program development norwegian pension system since,neutral
It estimates the operating profit to further improve from the third quarter .,estimates operating profit improve third quarter,positive
"Proha Plc ( Euronext :7327 ) announced today ( 19 May ) that its fully-owned subsidiary , Safran Software Solutions AS , has agreed to sell its 49 % share of Safran North America LLC to a SNA Holding AS , an investment group based in Norway .",proha plc euronext announced today may subsidiary safran software solutions agreed sell share safran north america llc sna holding investment group based norway,neutral
Tesco sales recover as focus returns to core business,tesco sales recover focus returns core business,positive
"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",however company saw net profit third quarter eur million eur million corresponding period,neutral
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,production liquidated june employees loose jobs,neutral
Danske Bank is Denmark 's largest bank with 3.5 million customers .,danske bank denmark largest bank million customers,neutral
"Protalix closed at $ 10.71 on Friday on the American Stock Exchange , giving a market cap of $ 827 million .",protalix closed friday american stock exchange giving market cap million,neutral
Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 .,net sales decreased eur mn eur corresponding period,negative
"The most interesting export markets will be Russia , the Baltic countries and Scandinavia .",interesting export markets russia baltic countries scandinavia,neutral
The actions are expected to deliver annual cost savings of some EUR15-20m .,actions expected deliver annual cost savings,positive
"Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights .",nordea bank ab publ holds alma media shares representing share capital voting rights,neutral
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,eli lilly lly broken new high astrazeneca collaboration,positive
"The chilled meat products category led the meat , fish and poultry market in Finland , accounting for a share of 31.4 % .",chilled meat products category led meat fish poultry market finland accounting share,neutral
"- The Group -¦ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .",group cumulative sales review period eur million eur million profit taxes eur million,neutral
Aldata to Share Space Optimization Vision at Apollo User Group and 2009 Category Management Association Conferences ; Company Will Unveil New Solution that Combines Business Intelligence with Space Planning Data at Conferences,aldata share space optimization vision apollo user group category management association conferences company unveil new solution combines business intelligence space planning data conferences,neutral
Net sales of the Lehdentekijat unit was approximately EUR 14 million in 2007 and it had 70 employees .,net sales lehdentekijat unit approximately eur million employees,neutral
$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,lscc accumulation chart continues make new highs showing accumulation continuing take place http,positive
"The business area has operations in Finland , Sweden , Denmark , Estonia , Latvia and Lithuania .",business area operations finland sweden denmark estonia latvia lithuania,neutral
Sports equipment sales also progressed well owing to the prolonged winter season .,sports equipment sales also progressed well owing prolonged winter season,positive
"Also , Westpac is to issue a benchmark , 18 month FRN deal in Euros .",also westpac issue benchmark month frn deal euros,neutral
"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community .",last smartphone running maemo replaced meego joint project nokia intel open source community,neutral
pretty steady accumulation off support today.  Purdy. $AGU,pretty steady accumulation support today purdy agu,positive
`` Serving customers locally is one of the cornerstones of customer focus for us .,serving customers locally one cornerstones customer focus us,neutral
"`` We cut our frequency to New York last year , which explains the fall , '' he said .",cut frequency new york last year explains fall said,negative
"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",hsc receives contract new saudi arabian steel mill,positive
Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,operating result including items rose eur loss eur,positive
"Both operating profit and net sales for the three-month period increased , respectively from EUR15 .1 m and EUR131 .5 m , as compared to the corresponding period in 2005 .",operating profit net sales period increased respectively compared corresponding period,positive
Around 250 of these reductions will be implemented through pension arrangements .,around reductions implemented pension arrangements,neutral
Sainsbury's says to outperform rivals in tough market,sainsbury says outperform rivals tough market,positive
Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,finnish outokumpu technology awarded several new grinding technology contracts,positive
Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty $SBUX https://t.co/Xk6lZ3UI3K,starbucks digital strategy drive significant growth customer loyalty sbux https,positive
Margin call of Zanadvorov has given the chance to make such purchase under the credit of Deutsche Bank for USD 560 million .,margin call zanadvorov given chance make purchase credit deutsche bank usd million,neutral
The soapstone deposits in the Medvezhyegorsk area are expected to increase Tulikivi 's current reserves considerably .,soapstone deposits medvezhyegorsk area expected increase tulikivi current reserves considerably,positive
"He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels .",answers questions many visitors conversations gets big team problems setting social media channels,neutral
Hargreaves Lansdown share price falls as costs mount - although pensions ...,hargreaves lansdown share price falls costs mount although pensions,negative
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",press serco set appoint roy gardner chairman ft,positive
InterContinental Hotels Denies Reports of Starwood Merger Talks,intercontinental hotels denies reports starwood merger talks,neutral
Commencing the construction works of Pearl Plaza is a significant step in our Russian projects .,commencing construction works pearl plaza significant step russian projects,positive
"With this acquisition the wireless modem unit and its approximately 1,100 employees were transferred to Renesas Electronics Corporation .",acquisition wireless modem unit approximately employees transferred renesas electronics corporation,neutral
`` The announced investment of the carmaker Hyundai for example sounds optimistically for us as of course new cars mean new tires . '',announced investment carmaker hyundai example sounds optimistically us course new cars mean new tires,positive
"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland .",according acnielsen scantrack study period week week market leader soft drinks finland,positive
$YMI http://stks.co/Xyf Long setup. Closed above the 20MA. MACD cross. November catalyst.,ymi http long setup closed macd cross november catalyst,positive
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",update settles oil claims halliburton transocean,negative
"The contracts awarded to date , in connection with the system , amount to a total EUR 36 million .",contracts awarded date connection system amount total eur million,neutral
"Because expenditures must be justified to pass budget approval hurdles , we believe our RoP model can help make it easier for IT and IT security practitioners to make the business case for acquiring enabling security technologies and related control activities .",expenditures must justified pass budget approval hurdles believe rop model help make easier security practitioners make business case acquiring enabling security technologies related control activities,neutral
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,company femsa acquire ades beverage business unilever,positive
"We are honored to be acknowledged for our commitment to the industry , especially in Asia Pacific . ''",honored acknowledged commitment industry especially asia pacific,positive
"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",invention released patent office said chambers pressurized,neutral
"In the Baltic countries , sales fell by 42.6 % .",baltic countries sales fell,neutral
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",however sales volumes food industry expected remain relatively good levels finland scandinavia atria said,positive
"The mill 's raw material need will increase by 100,000 m3 of wood .",mill raw material need increase wood,neutral
"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .",outotec headquartered espoo finland leading provider process solutions technologies services mining metallurgical industries,neutral
"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",one dark spot horizon however company performance finnish bottled water market,neutral
Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,current holdings via options long aapl v gs aet short vxx,positive
"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland .",process technology project management basic engineering quality assurance within forest industry consolidated vantaa southern finland,neutral
$PCLN runs into the 50sma on the acquisition news,pcln runs acquisition news,positive
"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .",vaahto pulp paper finnish vaahto group awarded order renovate forest industry company stora enso paperboard machine ingerois board mill finland,positive
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,nokia pct eur kicking morning negative territory,positive
$TZA is a rocket ship!!!,tza rocket ship,positive
"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F .",finnish solutions provider affecto oyj said today frame contract valued implement next phase insurance application south african mutual federal insurance company limited f,positive
Industry Investment is very interested in Glaston 's solar energy projects .,industry investment interested glaston solar energy projects,positive
The winner does not have to be present to win .,winner present win,neutral
Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,scanfil execute temporary job cuts march,negative
"Furthermore , our fully electrically driven cranes are environmentally friendly .",furthermore fully electrically driven cranes environmentally friendly,positive
Finnish-Swedish TietoEnator is expanding its business quickly in Russia .,tietoenator expanding business quickly russia,positive
It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 .,estimated consolidated turnover kausta guder reach lt us mn eur mn,neutral
Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores,added bbby jimcramer wrong one still profitable merchant profitable stores,positive
"Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres .",rinkuskiai beer sales fell per cent million litres kauno alus beer sales jumped per cent million litres,neutral
"INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .",internet business news communications ltd part drive protect users internet banking service barclays bank announced recommend internet security customers,neutral
Halonen 's office acknowledged receiving the letter but declined comment .,halonen office acknowledged receiving letter declined comment,neutral
"Boomeranger Boats Oy specialises in boat building and designs , manufactures and sells customised Rigid Inflatable Boats RIB primarily for the Baltic Sea market .",boomeranger boats oy specialises boat building designs manufactures sells customised rigid inflatable boats rib primarily baltic sea market,neutral
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,fair value company investment properties grew eur billion end march eur million year ago,positive
"`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said .",reached agreement union flights continue normal finnair spokesman usko maatta said,positive
$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,osur since buy signal resistance expect pullback half day break abov continue rally days,positive
"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .",company net sales eur million today approximately employees finland estonia poland,neutral
"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry .",broker highlights cargotec preferred stock sector pure play global cargo container handling expects play active role consolidating industry,positive
The combined capital of these funds is expected to be EUR 100mn-150mn .,combined capital funds expected eur,neutral
"The total headcount reduction will be 50 persons , the company said .",total headcount reduction persons company said,negative
The aim is to develop open-source application solutions .,aim develop application solutions,neutral
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,net sales whole fiscal year lower operating profit estimated negative,negative
"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings .",contract consists new building area sq renovation existing buildings,neutral
Retailers Kingfisher and Sports Direct rise in Britain's share index,retailers kingfisher sports direct rise britain share index,positive
Persimmon share price climbs on 23% rise in full-year revenue,persimmon share price climbs rise revenue,positive
"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",check make bid deka showroom fortitude valley,neutral
"The new facility , to be known as Technopolis Pulkovo , will introduce to the Russian market an entirely new concept of creating , operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive companies .",new facility known technopolis pulkovo introduce russian market entirely new concept creating operating growing science technology park support growth companies,neutral
Tesco's Sales Pickup Isn't Enough,tesco sales pickup enough,negative
$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,trip maintains neutral rating jp pt cut,neutral
"The poorest index figure was given to Finnish power company Fortum , 4.5 .",poorest index figure given finnish power company fortum,negative
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,extracted filtrates high clarity dried filter cakes meet required transport moisture limits tmls ore grades,neutral
"` This order is included in Wartsila 's order book in the second quarter , ' the company added .",order included wartsila order book second quarter company added,neutral
The company also said that the deployment of the Danish 4G network continues and it expects to cover 75 % of the Danish population in 2011 .,company also said deployment danish network continues expects cover danish population,neutral
"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",disposal autotank also strengthen aspo capital structure commented gustav nyberg ceo aspo,positive
"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",micron technology inc nasdaq mu today since put short https,negative
